price,sqft_living
320000,1530
2532000,5040
340000,2530
440000,1010
219950,1200
940000,2720
399950,1850
1568000,2340
528000,1860
545000,1940
575000,1680
235000,1770
272000,1790
380000,1720
195000,1280
297000,1690
349000,2190
320000,710
319990,1890
439900,1410
429000,2210
272500,1540
400000,1350
462000,1380
510000,890
550000,1900
150000,1240
460000,1730
632500,2090
361000,1650
437000,1130
370000,3240
884250,3840
225000,1200
235000,870
767500,2410
1200000,1560
715000,2410
417000,2300
199000,1390
875000,2920
545000,1370
192500,950
822500,3090
800000,2390
1250000,2070
3850000,5770
295000,1460
419000,1510
1195000,5180
750000,3430
502000,1700
1025000,2640
398500,1200
700000,1850
248000,1510
800000,2130
383000,2640
688000,3000
521000,1870
365000,990
491000,2005
643000,2030
279000,1500
583500,1530
310000,1990
310000,1420
280000,1400
272000,1870
870000,3040
307000,1790
490000,1590
399950,2050
1635000,4220
989000,4030
264950,1770
491500,2100
345000,2120
339900,2600
852000,2400
585000,3180
723000,2790
594000,2080
405000,1370
725500,2790
800000,1740
1325000,6400
180500,1800
325000,1800
235000,1190
330000,860
678500,2460
463000,1980
250000,670
655000,1410
239900,1860
185000,980
1735000,3040
251700,1810
400000,1560
735000,2100
1700000,2500
82500,520
765000,3010
292500,2140
270000,2390
415000,1510
950000,2210
353000,2170
670950,1790
280950,1390
585000,1850
525000,1480
605000,1850
1010000,3350
245990,1040
535000,2810
410000,1010
550000,2250
665000,1800
455000,2400
440000,1780
332000,2120
280000,1860
570000,1460
250000,1230
238000,1088
265000,800
306000,1190
345000,1940
765000,3300
346300,2590
342500,2080
501000,2680
270000,1670
638000,1830
460000,1400
760000,2770
1085000,3630
234000,1040
1650000,2690
488000,2020
1550000,2450
499000,2030
150000,1450
333000,2400
700000,2870
275000,1340
330000,1680
360000,1850
467000,1220
568000,2320
605000,3220
750000,3190
760000,3530
265000,2050
490000,1720
360000,2850
311750,2270
399000,1880
347000,2770
1680000,4490
585000,3110
340000,2360
612000,2180
230000,1910
604000,2260
250000,1770
258500,1460
783000,2080
1050000,2960
760000,3220
276000,1140
550000,1660
398000,1430
775000,1820
1027500,3540
327000,1620
564500,3100
782000,1500
398000,2820
257000,1850
235000,1570
453000,2300
535000,920
275000,1600
665000,2630
670000,3020
465000,1490
210000,1160
265000,2040
426000,1550
529219,1990
600000,1900
875000,3840
608000,2400
220000,1660
1760000,6055
295450,2030
315000,840
205000,1450
310000,1460
1000000,2010
525000,2910
284000,1880
510000,2170
405000,1260
509950,1970
600000,2090
990000,3450
280005,1130
700000,2600
330000,1030
340000,1700
468000,1480
1339000,4250
515000,1600
245000,1870
265000,1440
372400,2720
390000,1240
208000,1020
273000,1180
455000,3080
270000,1750
618000,2530
213550,1580
210000,2340
2750000,6300
403500,2400
235000,1300
287500,1760
546800,1520
183000,1070
560000,2560
299500,1280
610000,1660
288350,1860
500000,950
625000,2140
418000,1480
660000,2260
775000,2300
429500,1650
569000,1990
250000,1960
225000,1310
530000,2450
306000,910
517100,1580
354950,1780
348000,1040
522250,2340
275000,1720
390000,1600
260000,1320
585000,2350
605000,2740
342000,2300
900000,4350
252000,1430
357000,2400
370000,940
322500,1020
210000,1680
290000,1340
860000,3960
302000,2650
369160,2120
1185000,2850
993000,2850
380000,1870
635000,2660
260000,1190
243000,1770
1400000,2770
665000,2080
898000,2700
583000,2200
429000,2160
471000,2010
1810000,3780
739500,4460
450000,1770
552500,1430
437000,1700
270000,1830
226740,1410
446500,3060
283000,1820
445000,2430
250000,740
307000,770
315000,2200
555000,2920
264900,2040
510000,1600
328000,1990
358000,1830
325000,2540
1365000,2700
230000,1440
545000,1550
705380,2490
459000,2650
815000,2000
495000,3440
520000,2280
430000,1320
255000,2070
588000,1860
350000,940
625000,2290
172500,1510
554000,1830
775000,3090
1187500,4340
618000,3200
305000,1560
232000,1280
262000,2020
234000,1040
500000,2260
278000,860
230000,1920
500000,2290
366500,2070
665000,4250
1101000,2220
575000,1840
674750,2590
719000,3110
482000,2600
254000,1060
443725,1250
575000,2520
469000,2070
175000,1300
437000,2190
550000,2760
172040,1710
363000,1750
282000,1552
400000,2350
650000,5110
365000,1720
269950,1960
260000,1270
193000,1180
340000,2230
900000,4700
371000,2150
592000,2400
300000,1830
449950,2800
299500,2090
995000,2340
335000,1670
280000,1990
446000,2270
1544500,4910
325000,950
450000,1610
322500,1940
453000,1210
655000,2570
603000,1700
235000,1610
968933,4120
1015000,2880
435000,1990
242000,1260
487000,4750
810000,3010
625000,2410
165000,1280
335000,2320
286700,1220
699000,1400
280000,1590
580000,2220
754800,2770
525000,2303
562000,1600
575000,1280
808900,2900
992000,2950
335000,1700
473000,1050
350000,2990
1600000,3100
305500,1240
306000,780
233000,850
490000,1540
445000,2280
355000,2550
360000,1770
737500,2320
985000,2600
349950,1570
520000,3060
355950,1960
485000,3270
143000,1090
3278000,6840
355000,940
1126000,3880
200000,1770
913000,3640
1600000,3160
409900,1590
265000,1290
740000,3655
306000,2490
381000,1470
1220000,3960
1050000,3190
408000,810
739900,2980
674250,2780
438400,1340
1700000,4930
703000,1360
262000,1320
353000,1210
500000,1940
1280000,3160
332000,1980
824000,2320
290000,1660
700000,1660
550000,1080
549000,1510
1865000,2950
858000,3070
345000,970
340000,2140
1215000,2570
275000,1260
405000,1220
432500,1720
236500,2140
679000,1420
543000,2060
294000,1320
340500,1810
1012000,2980
335000,1350
425000,1540
353000,2510
540000,1670
640000,3690
339950,1320
195000,1510
322000,1510
660000,1870
280000,2400
300000,2400
207500,1170
195000,1190
700000,2080
560000,2150
260000,1580
575000,1580
475000,2370
285000,1840
753888,2660
650000,2190
620000,1660
526000,1780
155000,700
342000,1570
390000,1220
685000,3150
608000,2690
179900,680
1245000,3750
166000,1010
462000,1710
545000,2090
415000,1560
269000,1560
356500,2570
225000,1010
175000,1020
549000,1710
535000,2300
627000,1990
565000,2730
392450,2195
509000,1560
340000,1400
537000,1400
865000,3690
358000,1140
595000,1920
661000,2496
419950,2280
490000,3200
525000,880
350000,1320
552500,2450
210000,1040
390000,2480
336800,1830
465000,1440
299900,1580
715000,3230
235000,1810
276000,2495
265000,1740
425000,1680
313000,2460
715000,3050
265000,1630
646000,2460
175000,1030
649000,3410
785000,2310
890000,2610
612000,2330
330000,2980
493000,1790
1600000,2940
1620000,3900
1650000,3900
499000,1750
603500,2660
530000,1580
895000,2350
267345,2510
275000,1480
439950,1720
455000,1470
630000,1540
690000,2820
212000,1250
231500,2080
1237500,5180
378500,2860
482000,2710
695000,1140
965000,4070
675000,1710
387000,1340
347500,2290
385000,1860
265000,1080
406000,960
134000,980
415000,1500
375000,1440
620000,2580
337500,2070
565000,1880
399500,2420
1065000,1890
352500,1920
259000,1870
320000,900
733000,2160
381500,900
343000,1180
205500,900
525000,1600
300000,1500
299000,1070
561000,2570
450000,1210
540000,1850
379000,1740
230000,1300
399950,2000
355000,3220
580000,2160
700000,2130
279900,1580
210000,1200
1165000,3790
290300,860
1599950,5130
490000,1600
606000,2110
359950,1400
677100,2110
465000,1430
4500000,6640
500000,3040
455000,980
705000,2570
420000,2060
169575,1300
250000,1300
530000,1680
590000,4020
257500,1530
415000,1170
536000,1580
246500,1270
395000,1480
739000,2220
1272000,3200
190000,910
305000,1480
925000,3770
895000,3500
656000,1480
560000,1660
610000,2520
645000,2850
259000,2153
980000,3780
872000,3770
1000000,3600
900000,2980
475000,2320
350000,2980
840000,2930
500000,2040
202500,1510
523000,2660
225000,1740
418200,2240
356500,1570
670000,2500
456150,1750
471000,3030
558000,1680
1380000,5740
161500,1220
311000,1310
470000,2490
569000,2220
689000,2240
271900,1890
278000,1850
820000,2210
399500,1410
462000,1890
347500,1830
562100,1440
230000,950
687000,2370
725786,3070
315500,1300
312000,1300
343000,1210
385195,710
415000,2240
461000,3600
369990,1960
349950,1820
285750,1960
542500,1750
830000,3700
705000,2910
615000,1270
184500,720
412000,1040
250000,2210
580000,2060
220000,780
675000,2240
373500,800
662700,2440
239950,1460
383000,1150
485000,2650
610000,2600
545000,1820
780000,2560
305000,1714
405000,1330
1110000,7350
273000,2050
326500,1810
365000,1380
1000750,3070
422500,800
354450,2140
320000,1330
223000,1030
410000,1740
438000,1200
390000,1490
298500,1890
749999,3060
779000,3250
570000,2730
385000,810
649000,2240
283000,1740
699900,2380
278500,1540
700000,2340
535000,2710
234500,1310
374150,1390
397000,2201
613000,1960
1150000,2850
595000,1880
340000,2440
388000,2560
404000,1410
810000,2870
405000,2620
726000,2970
266000,1780
722500,3700
352000,1252
265000,1240
856000,2160
346950,2040
866059,3130
410000,2350
370000,1570
230000,1530
400000,1520
172000,1350
615000,1950
860000,3950
555000,2040
579000,1990
385000,1300
420000,2030
645000,2340
549950,2160
678000,2770
199000,2030
604000,1440
268000,1730
960000,4510
509250,2100
416000,1800
190000,1090
212000,1010
325900,2040
560000,2270
275000,1730
665000,2480
1505000,3480
375000,1720
359950,1570
340000,3527
401000,840
669000,1950
638500,1980
545000,1620
524000,1980
1610000,3530
280000,1260
828000,2120
223000,1360
1289000,3100
750000,2370
430000,1460
711000,1980
310000,1930
415000,3700
274900,1970
525000,2470
179500,1180
478000,1280
195000,1380
385000,2740
401000,2020
522000,2835
330000,1520
503000,2190
175000,1680
963990,3915
845000,1720
157500,670
450000,1790
925000,2440
600000,920
709000,1680
1385000,3290
248000,2120
245000,910
332000,1000
459950,2340
425000,1180
460000,2080
838300,3760
256000,1480
864000,3060
900000,3070
145600,1170
865000,2900
250250,2210
162000,1440
450000,1980
675500,2060
697000,2420
1324050,3440
490000,1600
590000,2210
280000,2250
515000,1680
576000,1140
375000,1430
478000,1440
282000,1670
1400000,3080
593500,4300
724950,3010
306000,1560
341000,1920
399950,1400
534000,2280
635000,3880
350000,1350
856000,1480
582000,1670
799000,3400
423700,2070
1835000,4870
322000,1760
929000,4030
443000,1130
441500,1510
875000,3110
3600000,5020
450000,740
425000,1630
660000,2780
763101,1990
499000,2250
521000,1720
302000,900
293000,2360
335000,1530
499000,1450
600000,2040
720000,2620
195000,1180
249000,1110
334000,1840
599950,2720
149900,1090
700000,1730
525000,1170
1049000,4740
402000,1960
450000,1430
520000,2510
205000,1420
635000,2680
210500,1220
406650,1070
350000,1580
425000,1820
798000,3590
180000,1960
1250000,3160
435000,2030
355000,1240
3000000,5370
685000,2670
311000,1640
305000,2130
675000,2550
769000,3630
430000,1690
516250,2390
760000,2350
579950,1420
476000,1570
510000,1600
205000,720
240000,1470
738000,2790
420000,1720
455000,1300
765000,2520
372000,1780
160000,1200
772000,2990
1125000,1910
479000,1370
570000,1910
350000,1170
353000,1250
699000,3340
265000,1380
167000,780
500000,2080
700000,1410
295000,520
1010000,3500
209000,840
276000,2240
380000,2100
315000,1750
685530,3130
254600,1470
230000,1440
335000,1430
550000,2170
123300,1150
275436,2170
325000,2630
635000,2490
513000,1710
580000,2130
225000,940
265000,1400
313000,1630
296000,1370
655500,2380
250750,2140
438000,1970
590000,2550
329500,1080
1195000,3070
415000,1470
900000,3620
378000,1050
474000,1050
464000,1320
310000,1210
580000,1860
999000,2830
510000,810
650000,1630
196000,880
220000,1660
855000,3440
483000,2110
400000,1060
435000,1900
219500,820
2950000,4860
427000,2050
430000,1090
685000,1090
495000,1920
299950,1870
390000,2690
385000,2160
740000,3000
991700,2290
765000,2250
802000,2130
950000,2500
392000,2300
590000,3360
425000,1920
765000,2440
313500,1440
320000,1780
604000,1490
570000,1400
639000,2150
335000,1910
896000,2660
259500,1650
637000,1980
307450,2690
535000,1380
669500,2500
259000,1590
441000,1100
228800,1470
530000,1680
524000,1450
430000,2020
1325000,2470
210000,1230
449000,1850
945000,2540
200450,970
219950,1070
659500,2620
746000,2110
540000,2110
485000,1910
202000,670
2525000,6930
502000,2010
279000,1770
409500,1340
453000,1660
367000,1820
550000,2510
273500,1560
505000,2280
770000,2650
565000,2470
316000,1270
160000,1520
170000,1310
235000,1310
1799000,3930
310000,990
285000,2080
280000,960
2298000,4070
763776,2750
530000,3230
362000,890
430000,990
456500,1290
445000,2170
386900,1330
479000,1340
525000,2200
